epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4536,0.96435,2.30252,1.28359,0.64302,0.85,0.87569,0.63644,1.65142,1.04317,1.38031,0,0,0
2,2.96358,1.24078,3.21757,1.62279,0.6234,0.85,0.8845,0.63839,1.67628,1.02732,1.38829,1.17822e-06,1.17822e-06,1.17822e-06
3,3.37325,1.30454,3.62243,1.59214,0.62813,0.85,0.85378,0.61802,1.69431,1.02043,1.38863,2.33288e-06,2.33288e-06,2.33288e-06
4,3.83489,1.00646,2.76347,1.269,0.6407,0.85,0.85419,0.63467,1.693,1.02726,1.38724,3.46397e-06,3.46397e-06,3.46397e-06
5,4.3463,1.3221,2.93621,1.62024,0.67719,0.91412,0.90573,0.63979,1.68876,1.02246,1.37565,4.5715e-06,4.5715e-06,4.5715e-06
6,4.98839,0.93661,2.24941,1.21492,0.62861,0.85,0.85589,0.62794,1.67416,1.02565,1.3609,5.65548e-06,5.65548e-06,5.65548e-06
7,5.58049,1.35451,3.81275,1.75526,0.63585,0.85,0.85925,0.61341,1.694,1.02256,1.37175,6.71588e-06,6.71588e-06,6.71588e-06
8,6.1235,1.45259,4.06116,1.84038,0.63886,0.85,0.85927,0.61289,1.69852,1.03915,1.37176,7.75273e-06,7.75273e-06,7.75273e-06
9,6.68883,1.34785,2.87614,1.46797,0.61994,0.85,0.85967,0.6129,1.69945,1.04654,1.37307,8.76602e-06,8.76602e-06,8.76602e-06
10,7.16486,1.26558,2.44661,1.59484,0.61556,0.85,0.86185,0.63864,1.70906,1.06349,1.37784,9.75574e-06,9.75574e-06,9.75574e-06
11,7.62634,1.11376,1.62147,1.3859,0.61767,0.85,0.86008,0.62153,1.70232,1.05759,1.37636,1.07219e-05,1.07219e-05,1.07219e-05
12,8.06806,1.37457,2.68392,1.57064,0.60392,0.86089,0.86063,0.62605,1.69745,1.0553,1.37038,1.16645e-05,1.16645e-05,1.16645e-05
13,8.54373,1.02413,2.44114,1.37276,0.56215,0.86667,0.85991,0.61879,1.70818,1.06833,1.37172,1.25835e-05,1.25835e-05,1.25835e-05
14,9.0086,1.23595,2.1475,1.51543,0.54165,0.86667,0.89519,0.62396,1.70363,1.072,1.37073,1.3479e-05,1.3479e-05,1.3479e-05
15,9.56285,1.25413,2.79977,1.5396,0.53711,0.86667,0.89483,0.62409,1.69855,1.07195,1.36895,1.43509e-05,1.43509e-05,1.43509e-05
16,10.3501,1.03034,2.10097,1.38833,0.55771,0.86667,0.89644,0.62745,1.70595,1.07932,1.37163,1.51993e-05,1.51993e-05,1.51993e-05
17,10.9506,0.99869,2.8849,1.35999,0.56702,0.86667,0.89705,0.61861,1.71996,1.08044,1.37612,1.60241e-05,1.60241e-05,1.60241e-05
18,11.4708,0.89654,2.5019,1.33544,0.56702,0.86667,0.89705,0.61861,1.71996,1.08044,1.37612,1.68253e-05,1.68253e-05,1.68253e-05
19,12.0987,1.00316,1.85812,1.44703,0.57184,0.86667,0.89569,0.61857,1.72268,1.11652,1.3724,1.7603e-05,1.7603e-05,1.7603e-05
20,12.6611,1.2049,2.46688,1.57228,0.57184,0.86667,0.89569,0.61857,1.72268,1.11652,1.3724,1.83571e-05,1.83571e-05,1.83571e-05
21,13.241,1.10092,2.41066,1.4901,0.82422,0.65,0.89556,0.61875,1.72043,1.1329,1.37598,1.90876e-05,1.90876e-05,1.90876e-05
22,13.7383,1.02042,2.48679,1.37398,0.82422,0.65,0.89556,0.61875,1.72043,1.1329,1.37598,1.97946e-05,1.97946e-05,1.97946e-05
23,14.2509,0.97455,2.12316,1.4999,0.81372,0.65,0.89624,0.62327,1.71889,1.16044,1.37401,2.0478e-05,2.0478e-05,2.0478e-05
24,14.8604,0.80432,1.46283,1.23085,0.81372,0.65,0.89624,0.62327,1.71889,1.16044,1.37401,2.11379e-05,2.11379e-05,2.11379e-05
25,15.3588,0.68632,1.5795,1.08864,0.63312,0.6991,0.8786,0.57652,1.74968,1.21201,1.39617,2.17741e-05,2.17741e-05,2.17741e-05
26,15.8106,1.16601,1.80022,1.38318,0.63312,0.6991,0.8786,0.57652,1.74968,1.21201,1.39617,2.23869e-05,2.23869e-05,2.23869e-05
27,16.3286,0.94972,1.55734,1.28152,0.63598,0.7,0.87828,0.59731,1.73813,1.23382,1.40215,2.2976e-05,2.2976e-05,2.2976e-05
28,16.7794,1.05783,1.44297,1.27398,0.63598,0.7,0.87828,0.59731,1.73813,1.23382,1.40215,2.35417e-05,2.35417e-05,2.35417e-05
29,17.2014,1.09592,1.80207,1.54433,0.64149,0.7,0.85743,0.58692,1.71686,1.25566,1.39421,2.40837e-05,2.40837e-05,2.40837e-05
30,17.5943,0.74923,1.75647,1.39104,0.64149,0.7,0.85743,0.58692,1.71686,1.25566,1.39421,2.46022e-05,2.46022e-05,2.46022e-05
31,18.0528,1.26501,1.57472,1.65183,0.64908,0.7,0.8573,0.59336,1.70835,1.29549,1.39697,2.50971e-05,2.50971e-05,2.50971e-05
32,18.5018,0.93027,2.0587,1.39953,0.64908,0.7,0.8573,0.59336,1.70835,1.29549,1.39697,2.55685e-05,2.55685e-05,2.55685e-05
33,19.0169,0.8107,1.21588,1.23562,0.64418,0.68913,0.82734,0.57162,1.67842,1.35125,1.38326,2.60163e-05,2.60163e-05,2.60163e-05
34,19.4698,1.29076,1.63891,1.51444,0.64418,0.68913,0.82734,0.57162,1.67842,1.35125,1.38326,2.64405e-05,2.64405e-05,2.64405e-05
35,20.0436,0.74075,1.15245,1.08812,0.69052,0.66269,0.82774,0.56137,1.65559,1.3979,1.37443,2.68412e-05,2.68412e-05,2.68412e-05
36,20.7442,0.73759,1.62431,1.20755,0.69052,0.66269,0.82774,0.56137,1.65559,1.3979,1.37443,2.72183e-05,2.72183e-05,2.72183e-05
37,21.3151,1.13052,1.6827,1.61842,0.65361,0.66549,0.82679,0.56105,1.63237,1.48027,1.37008,2.75718e-05,2.75718e-05,2.75718e-05
38,21.8151,0.79693,1.40997,1.12612,0.65361,0.66549,0.82679,0.56105,1.63237,1.48027,1.37008,2.79018e-05,2.79018e-05,2.79018e-05
39,22.4267,0.56192,0.96414,0.97229,0.64959,0.6891,0.82626,0.56087,1.6412,1.56317,1.37754,2.82082e-05,2.82082e-05,2.82082e-05
40,23.1006,0.84111,1.00968,1.31236,0.64959,0.6891,0.82626,0.56087,1.6412,1.56317,1.37754,2.84911e-05,2.84911e-05,2.84911e-05
41,23.7293,0.7278,0.96157,1.07034,0.65242,0.67747,0.81972,0.54613,1.69655,1.59436,1.40503,2.87504e-05,2.87504e-05,2.87504e-05
42,24.2092,0.88931,1.29657,1.21097,0.65242,0.67747,0.81972,0.54613,1.69655,1.59436,1.40503,2.89861e-05,2.89861e-05,2.89861e-05
43,24.6445,0.61248,1.07262,1.13756,0.67856,0.66498,0.6949,0.40575,1.71153,1.64972,1.40083,2.91983e-05,2.91983e-05,2.91983e-05
44,25.083,1.02394,2.21689,1.40104,0.67856,0.66498,0.6949,0.40575,1.71153,1.64972,1.40083,2.93869e-05,2.93869e-05,2.93869e-05
45,25.6025,0.77217,1.28087,1.22342,0.60639,0.54829,0.59125,0.36158,1.71575,1.7227,1.398,2.9552e-05,2.9552e-05,2.9552e-05
46,25.9906,0.97604,1.52434,1.30141,0.60639,0.54829,0.59125,0.36158,1.71575,1.7227,1.398,2.96935e-05,2.96935e-05,2.96935e-05
47,26.5832,1.14613,1.54716,1.48355,0.6096,0.54244,0.58701,0.34647,1.75614,1.81458,1.42747,2.98114e-05,2.98114e-05,2.98114e-05
48,27.0068,0.90372,0.80518,1.29973,0.6096,0.54244,0.58701,0.34647,1.75614,1.81458,1.42747,2.99058e-05,2.99058e-05,2.99058e-05
49,27.447,0.71635,0.94634,1.17269,0.59043,0.48968,0.52311,0.28268,1.75256,1.86953,1.42253,2.99766e-05,2.99766e-05,2.99766e-05
50,27.9276,0.84586,1.00512,1.21748,0.59043,0.48968,0.52311,0.28268,1.75256,1.86953,1.42253,3.00238e-05,3.00238e-05,3.00238e-05
51,28.4356,0.87056,1.00506,1.19325,0.67072,0.48067,0.52942,0.2915,1.7173,1.8993,1.40206,3.00475e-05,3.00475e-05,3.00475e-05
52,28.8661,0.79607,1.61224,1.15305,0.67072,0.48067,0.52942,0.2915,1.7173,1.8993,1.40206,3.00476e-05,3.00476e-05,3.00476e-05
53,29.3117,0.77497,0.85904,1.12775,0.67072,0.48067,0.52942,0.2915,1.7173,1.8993,1.40206,3.00242e-05,3.00242e-05,3.00242e-05
54,29.7919,0.75291,0.87503,1.28485,0.67976,0.48069,0.52681,0.26883,1.74046,1.94831,1.42536,2.99772e-05,2.99772e-05,2.99772e-05
55,30.2655,0.65125,1.23954,1.06952,0.67976,0.48069,0.52681,0.26883,1.74046,1.94831,1.42536,2.99066e-05,2.99066e-05,2.99066e-05
56,30.7489,0.86699,0.99206,1.35567,0.67976,0.48069,0.52681,0.26883,1.74046,1.94831,1.42536,2.98125e-05,2.98125e-05,2.98125e-05
57,31.3308,0.72405,0.69768,1.10925,0.84451,0.48036,0.52396,0.26664,1.74402,1.96151,1.42598,2.96948e-05,2.96948e-05,2.96948e-05
58,31.8445,0.80418,0.65982,1.26756,0.84451,0.48036,0.52396,0.26664,1.74402,1.96151,1.42598,2.95535e-05,2.95535e-05,2.95535e-05
59,32.2897,0.91785,0.85818,1.13336,0.84451,0.48036,0.52396,0.26664,1.74402,1.96151,1.42598,2.93887e-05,2.93887e-05,2.93887e-05
60,32.8136,0.7735,1.18798,1.18178,0.83855,0.4799,0.52363,0.27834,1.74033,1.96698,1.42441,2.92003e-05,2.92003e-05,2.92003e-05
61,33.3835,0.71112,0.85382,0.99155,0.83855,0.4799,0.52363,0.27834,1.74033,1.96698,1.42441,2.89884e-05,2.89884e-05,2.89884e-05
62,34.0529,0.60735,0.64955,1.01199,0.83855,0.4799,0.52363,0.27834,1.74033,1.96698,1.42441,2.87529e-05,2.87529e-05,2.87529e-05
63,34.5817,0.89275,1.49109,1.33727,0.83932,0.47846,0.5214,0.26423,1.75161,2.03509,1.42404,2.84938e-05,2.84938e-05,2.84938e-05
64,35.042,0.77639,0.8031,1.22393,0.83932,0.47846,0.5214,0.26423,1.75161,2.03509,1.42404,2.82112e-05,2.82112e-05,2.82112e-05
65,35.5459,0.72537,0.80303,1.18797,0.83932,0.47846,0.5214,0.26423,1.75161,2.03509,1.42404,2.7905e-05,2.7905e-05,2.7905e-05
66,36.0526,0.78821,1.43373,1.16266,0.84092,0.47766,0.52109,0.24756,1.77027,2.0722,1.43049,2.75753e-05,2.75753e-05,2.75753e-05
67,36.5419,0.849,1.27567,1.26597,0.84092,0.47766,0.52109,0.24756,1.77027,2.0722,1.43049,2.7222e-05,2.7222e-05,2.7222e-05
68,37.0572,0.80475,1.00608,1.14382,0.84092,0.47766,0.52109,0.24756,1.77027,2.0722,1.43049,2.68451e-05,2.68451e-05,2.68451e-05
69,37.5905,0.77873,0.86116,1.17594,0.83793,0.47687,0.52001,0.24994,1.79064,2.10161,1.44053,2.64447e-05,2.64447e-05,2.64447e-05
70,38.018,0.63396,0.65881,1.01365,0.83793,0.47687,0.52001,0.24994,1.79064,2.10161,1.44053,2.60207e-05,2.60207e-05,2.60207e-05
71,38.5288,0.71273,0.71319,1.10751,0.83793,0.47687,0.52001,0.24994,1.79064,2.10161,1.44053,2.55731e-05,2.55731e-05,2.55731e-05
72,39.0134,0.51326,0.719,1.03052,0.84006,0.47629,0.53384,0.24697,1.76755,2.17236,1.43897,2.5102e-05,2.5102e-05,2.5102e-05
73,39.4982,0.83306,0.75155,1.22006,0.84006,0.47629,0.53384,0.24697,1.76755,2.17236,1.43897,2.46073e-05,2.46073e-05,2.46073e-05
74,40.0315,0.615,0.6823,1.17214,0.84006,0.47629,0.53384,0.24697,1.76755,2.17236,1.43897,2.40891e-05,2.40891e-05,2.40891e-05
75,40.5181,0.77003,0.61575,1.07193,0.83353,0.47607,0.52873,0.26308,1.80395,2.19207,1.46666,2.35472e-05,2.35472e-05,2.35472e-05
76,41.0649,0.66419,0.68265,1.04324,0.83353,0.47607,0.52873,0.26308,1.80395,2.19207,1.46666,2.29819e-05,2.29819e-05,2.29819e-05
77,41.5534,0.71945,0.77891,1.09675,0.83353,0.47607,0.52873,0.26308,1.80395,2.19207,1.46666,2.23929e-05,2.23929e-05,2.23929e-05
78,42.0993,0.81057,1.0222,1.24531,0.83159,0.4759,0.52834,0.2493,1.87523,2.21427,1.5083,2.17805e-05,2.17805e-05,2.17805e-05
79,42.5922,0.71945,0.93868,1.15615,0.83159,0.4759,0.52834,0.2493,1.87523,2.21427,1.5083,2.11444e-05,2.11444e-05,2.11444e-05
80,43.2096,0.62323,0.582,1.01085,0.83159,0.4759,0.52834,0.2493,1.87523,2.21427,1.5083,2.04848e-05,2.04848e-05,2.04848e-05
81,43.8228,0.75389,0.87098,1.24134,0.8305,0.47538,0.5272,0.25146,1.84524,2.22962,1.49119,1.98016e-05,1.98016e-05,1.98016e-05
82,44.3702,0.68357,0.68198,1.22717,0.8305,0.47538,0.5272,0.25146,1.84524,2.22962,1.49119,1.90949e-05,1.90949e-05,1.90949e-05
83,44.8855,0.80906,0.67062,1.32713,0.8305,0.47538,0.5272,0.25146,1.84524,2.22962,1.49119,1.83646e-05,1.83646e-05,1.83646e-05
84,45.4129,0.72534,0.77251,1.10471,0.84735,0.47005,0.52616,0.26957,1.87794,2.23591,1.51177,1.76107e-05,1.76107e-05,1.76107e-05
85,45.9586,0.74548,0.89963,1.145,0.84735,0.47005,0.52616,0.26957,1.87794,2.23591,1.51177,1.68333e-05,1.68333e-05,1.68333e-05
86,46.4525,0.66992,1.02101,1.09774,0.84735,0.47005,0.52616,0.26957,1.87794,2.23591,1.51177,1.60323e-05,1.60323e-05,1.60323e-05
87,46.885,1.17609,1.65339,1.62637,0.84735,0.47005,0.52616,0.26957,1.87794,2.23591,1.51177,1.52077e-05,1.52077e-05,1.52077e-05
88,47.3656,0.61778,0.84705,1.06458,0.86394,0.46645,0.52305,0.24759,1.90459,2.2695,1.53256,1.43596e-05,1.43596e-05,1.43596e-05
89,47.9675,0.68527,0.73199,1.36291,0.86394,0.46645,0.52305,0.24759,1.90459,2.2695,1.53256,1.34879e-05,1.34879e-05,1.34879e-05
90,48.4833,0.85396,0.78849,1.27433,0.86394,0.46645,0.52305,0.24759,1.90459,2.2695,1.53256,1.25927e-05,1.25927e-05,1.25927e-05
91,49.5983,0.67756,0.58616,1.10678,0.86394,0.46645,0.52305,0.24759,1.90459,2.2695,1.53256,1.16739e-05,1.16739e-05,1.16739e-05
92,50.4916,0.69344,0.57224,1.22583,0.87833,0.4606,0.52024,0.24535,1.89855,2.21295,1.5268,1.07315e-05,1.07315e-05,1.07315e-05
93,51.2881,0.59379,0.61994,1.05404,0.87833,0.4606,0.52024,0.24535,1.89855,2.21295,1.5268,9.76562e-06,9.76562e-06,9.76562e-06
94,51.7523,0.65914,0.62111,1.03136,0.87833,0.4606,0.52024,0.24535,1.89855,2.21295,1.5268,8.77613e-06,8.77613e-06,8.77613e-06
95,52.2548,0.53747,0.52066,0.96504,0.87833,0.4606,0.52024,0.24535,1.89855,2.21295,1.5268,7.76308e-06,7.76308e-06,7.76308e-06
96,52.8349,0.55663,0.57256,1.00563,0.9085,0.44906,0.52489,0.24543,1.85604,2.11972,1.48848,6.72648e-06,6.72648e-06,6.72648e-06
97,53.3904,0.56568,0.54842,1.03409,0.9085,0.44906,0.52489,0.24543,1.85604,2.11972,1.48848,5.6663e-06,5.6663e-06,5.6663e-06
98,53.8694,0.55722,0.50732,0.96512,0.9085,0.44906,0.52489,0.24543,1.85604,2.11972,1.48848,4.58257e-06,4.58257e-06,4.58257e-06
99,54.4261,0.53463,0.58415,1.03588,0.9085,0.44906,0.52489,0.24543,1.85604,2.11972,1.48848,3.47528e-06,3.47528e-06,3.47528e-06
100,55.1201,0.4638,0.4767,0.93595,0.86638,0.46101,0.53196,0.25203,1.79386,2.1317,1.4802,2.34442e-06,2.34442e-06,2.34442e-06
